portfolio,policy,family,currency,cost_model,start,end,years,cagr,volatility,sharpe,sortino,max_drawdown,ulcer_index,time_underwater,terminal_wealth,trades_per_year,turnover_per_year,cost_drag_bps,total_cost,mean_abs_weight_deviation,max_abs_weight_deviation,mean_equity_weight,max_equity_weight,allocation_effect_bps,rebalancing_effect_bps,cost_effect_bps
40/30/30,Drawdown trigger -20%,opportunistic,GBP,base,1991-11-01,2026-08-04,34.72,0.09115436310069058,0.10768394807363826,0.5510252619149886,0.5584883626213469,-0.19016627792219143,0.05358368714515014,0.9147331123556978,2067009.5849288781,0.17281975082866613,0.037968227022792095,0.3172080970026414,396.05237841887026,0.09396053649453046,0.2202802028741361,0.46718275581404534,0.6202802028741361,21.110072224050924,24.4886384751708,9.061769885436721
60/40,Never (drift),calendar,USD,base,1991-11-01,2026-08-04,34.72,0.07992199665422306,0.11323098122991024,0.5168995019155631,0.495532007845131,-0.3906263912202492,0.08978703159110728,0.8907303691850498,1443196.220175401,0.0,0.0,0.0,0.0,0.09025075111570723,0.2614726966518306,0.6873429232763443,0.8614726966518306,33.1169228100725,-12.387941807650016,5.855621556545287
60/40,Monthly,calendar,USD,base,1991-11-01,2026-08-04,34.72,0.07726353639832628,0.10062169808592882,0.5436817538425397,0.5247930028942868,-0.36107263240534127,0.06944337649788868,0.8835295462338553,1324835.6741094259,12.010972682592296,0.22313445336787235,5.855621556545287,6240.453228009423,0.006570443259310004,0.09524211780082145,0.6004458535339229,0.6509752100535636,0.0,0.0,-0.0
60/40,Quarterly,calendar,USD,base,1991-11-01,2026-08-04,34.72,0.07894289902719787,0.0992369079971596,0.565568914968482,0.5464152909546601,-0.3565896416944345,0.06834939848754928,0.8814721682477997,1398456.4707349576,4.003657560864099,0.14248412510485825,2.1822205708965647,2500.6475220281172,0.012035004475735247,0.1258114851072917,0.6015674200143444,0.67020592230503,0.44737038354059067,12.672854919526522,3.6734009856487226
60/40,Semi-annual,calendar,USD,base,1991-11-01,2026-08-04,34.72,0.07756360570561971,0.09735044207989395,0.5614893156796965,0.5405707230653468,-0.34593495557111487,0.06793077689482736,0.8829580523488398,1337708.099693996,2.016230426334438,0.09583337466006708,1.1983848575747302,1411.2667577827806,0.0150464827102647,0.17491041465020662,0.5998708167717561,0.6548093540508753,-0.22957206792906248,-1.4269715581072262,4.657236698970557
60/40,Annual,calendar,USD,base,1991-11-01,2026-08-04,34.72,0.07833680809707833,0.0967204726174414,0.5719371706686737,0.5504624034985534,-0.3367592459828259,0.06555836528980859,0.8829580523488398,1371439.3615624227,1.008115213167219,0.07166200078202577,0.6926039994747946,840.3749525296308,0.020094271483327063,0.20630220641456093,0.6021891673511648,0.6760865710330182,0.6951491183904146,4.874550312059522,5.163017557070493
60/40,Daily (constant mix),control,USD,base,1991-11-01,2026-08-04,34.72,0.0655562925687514,0.10239100801757813,0.4292971658367143,0.4156824673143262,-0.36520998305612684,0.07556788067535143,0.8986169847982627,906576.3668937543,252.0,0.995101375947851,130.5905003504293,108253.92402735,0.0019744074919600227,0.035256471600516204,0.6000352564562993,0.6293301067188684,-0.16390883275763102,7.826349330892768,-124.73487879388401
60/40,Band 5pp (daily check),threshold,USD,base,1991-11-01,2026-08-04,34.72,0.07889414376080972,0.10276073438750642,0.5492046698672132,0.5317233068838705,-0.355166995278382,0.06899324348301383,0.883186649902846,1396264.1753000757,0.8640987541433307,0.09032749223748894,0.6486940434258237,888.29475094025,0.01960169807661944,0.06421861521734185,0.6137249213445117,0.6532892284856329,5.263402064201728,5.835744047513192,5.206927513119464
60/40,Band 25% rel (daily check),threshold,USD,base,1991-11-01,2026-08-04,34.72,0.07986476043000179,0.10340055522343992,0.555153260918804,0.5363463600701054,-0.349561728993673,0.06960567409267993,0.8852440278889016,1440542.9966507107,0.2592296262429992,0.053207363130640756,0.2912826305823124,456.6551274090243,0.03850275637040652,0.10969431890736192,0.6302260947961209,0.7012135280945396,11.702302051717073,8.745599339075039,5.564338925962975
60/40,5/25 rule (daily check),threshold,USD,base,1991-11-01,2026-08-04,34.72,0.07889414376080972,0.10276073438750642,0.5492046698672132,0.5317233068838705,-0.355166995278382,0.06899324348301383,0.883186649902846,1396264.1753000757,0.8640987541433307,0.09032749223748894,0.6486940434258237,888.29475094025,0.01960169807661944,0.06421861521734185,0.6137249213445117,0.6532892284856329,5.263402064201728,5.835744047513192,5.206927513119464
60/40,Band 5pp (monthly check),hybrid,USD,base,1991-11-01,2026-08-04,34.72,0.07904019117359762,0.10096539911283647,0.5585077468484881,0.5392930441242977,-0.35619505224227277,0.06849107965436702,0.8841010401188707,1402841.2378785084,0.6624757115098868,0.0791352132300818,0.5395925761031428,752.722326086971,0.02042792403418062,0.12581148510729176,0.6122778071449154,0.6676816108625875,4.693350679969566,7.757168092301647,5.316028980442145
60/40,5/25 rule (monthly check),hybrid,USD,base,1991-11-01,2026-08-04,34.72,0.07904019117359762,0.10096539911283647,0.5585077468484881,0.5392930441242977,-0.35619505224227277,0.06849107965436702,0.8841010401188707,1402841.2378785084,0.6624757115098868,0.0791352132300818,0.5395925761031428,752.722326086971,0.02042792403418062,0.12581148510729176,0.6122778071449154,0.6676816108625875,4.693350679969566,7.757168092301647,5.316028980442145
60/40,5/25 rule (annual check),hybrid,USD,base,1991-11-01,2026-08-04,34.72,0.07953570041312341,0.09713552695395436,0.5813585425074029,0.5595927025124179,-0.33447393366188083,0.06455422973076923,0.8829580523488398,1425380.860197139,0.34563950165733226,0.05572203164022231,0.3446933714523759,451.57534896398636,0.02994996374158891,0.21136952120450633,0.608190941552269,0.6823582768551613,3.0787648316898952,14.131947131188483,5.5109281850929115
60/40,Drawdown trigger -15%,opportunistic,USD,base,1991-11-01,2026-08-04,34.72,0.07919902080989782,0.10460545663274966,0.5440900362182256,0.5217483117260351,-0.36431061761592565,0.07423437670314408,0.8877586009829694,1410028.0857332426,0.37444279346210996,0.05131107323668762,0.32012179267404406,448.07867467006014,0.05412194120405782,0.17061652864043053,0.6474964450504203,0.7540555751754087,18.3204659643299,-4.501121612485726,5.535499763871243
60/40,Drawdown trigger -20%,opportunistic,USD,base,1991-11-01,2026-08-04,34.72,0.07823637222403401,0.10676533790796783,0.5268923526757494,0.5041671248436019,-0.3516824116070931,0.0803393524625235,0.891073265516059,1367011.5704896548,0.2304263344382215,0.03376876266516444,0.21611363210105594,280.68078151488714,0.07198511519888899,0.18783693125050877,0.6620209077451339,0.7594096828786115,23.79048216655688,-19.701631833923816,5.639507924444231
60/20/20,Never (drift),calendar,USD,base,1991-11-01,2026-08-04,34.72,0.08257953469301293,0.12179749234650512,0.5090245604890669,0.4861377648303195,-0.40926411834778076,0.09832752791590366,0.8943879300491485,1571753.853824226,0.0,0.0,0.0,0.0,0.11252691717593742,0.21829164270338566,0.7089298145470792,0.8182916427033856,17.591295630516868,-34.315667613726845,9.229663795142784
60/20/20,Monthly,calendar,USD,base,1991-11-01,2026-08-04,34.72,0.08332900551181965,0.10824119445535493,0.564670364474877,0.5450341770447077,-0.3610863739145389,0.07224515653321556,0.8901588753000342,1609975.9865041021,12.010972682592296,0.2497504887102779,9.229663795142784,9260.406747673378,0.0074217740911232824,0.0760237833384197,0.6001807671376643,0.6439462976153804,0.0,0.0,-0.0
60/20/20,Quarterly,calendar,USD,base,1991-11-01,2026-08-04,34.72,0.08451214994720546,0.10716928062069972,0.5794289148930585,0.5592827870915832,-0.3598485083180989,0.07197523873450379,0.888444393644988,1672159.1357175342,4.003657560864099,0.15066677747303558,3.3468680562576125,3582.1045521707465,0.012981674181619112,0.10663403786198261,0.6009051633882259,0.659914017820899,0.2612789057732101,5.687369709199697,5.8827957388851715
60/20/20,Semi-annual,calendar,USD,base,1991-11-01,2026-08-04,34.72,0.08323711905431286,0.10561770225521902,0.575240831122109,0.5544270115933281,-0.35007154006222196,0.07183370274603396,0.8901588753000342,1605241.7765442398,2.016230426334438,0.09930308764910283,1.8055963198460034,1983.5172230810144,0.016169981787953917,0.13833282423900478,0.5985543917490478,0.6500133352225432,-0.14191337981639407,-8.201018670548343,7.424067475296781
60/20/20,Annual,calendar,USD,base,1991-11-01,2026-08-04,34.72,0.08438180732942357,0.10484759026001421,0.5887731165588519,0.5672990445999923,-0.3395684039296244,0.0695056405806861,0.888558692421991,1665195.9531247977,1.008115213167219,0.07634484183886105,1.0308998619446008,1179.0660460835074,0.022531924982935964,0.17924544028377046,0.6000779584385401,0.6850863382158698,0.41679772595726305,1.9124565168837648,8.198763933198183
60/20/20,Daily (constant mix),control,USD,base,1991-11-01,2026-08-04,34.72,0.060985295055419275,0.10980401426581514,0.36835851519006096,0.35696570536759253,-0.3714176850186419,0.08626037129021796,0.9157618013487255,780879.9190099384,252.0,1.13625280961469,242.96390247764865,160862.61674518458,0.002254469860346607,0.037633393205922225,0.6000205497898032,0.6376333932059223,-0.09771749325926393,10.394851611761347,-233.73423868250586
